MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.3,3,-0.010249800650000545,-0.5633,-0.01680572697729028,-0.7311,-0.03234510017924136,0.01658554409748723,-636.7888,-667.9548,0.00208600674842343,-13.9573,-0.5569,-0.5663,0.10868424538854274,-0.10998951032341187,-0.7246975972080826,-0.7351984398584612,0.07088,-0.0037600000000000034
0.3,5,-0.042546570817993824,-1.0007,-0.0544578058653881,-1.0603,-0.1422481050604775,0.11838047359825463,-609.8354,-654.7672,0.0005344006653981902,-14.869,-0.5374,-0.5468,0.10961038706403758,-0.1074816110591004,-0.7313558808303344,-0.7200060489202665,0.0722,-0.004956
0.3,7,-0.09400289341857475,-1.4791,-0.1160227217213717,-1.2961,-0.31180662191548447,0.2482148842799681,-581.2963,-636.2327,0.0013514529187282501,-15.7466,-0.506,-0.5153,0.11005948388619394,-0.1015300374627534,-0.7345996633837812,-0.6823524845665018,0.07302,-0.006139999999999999
0.3,10,-0.19872340360239232,-2.2785,-0.22693991377392944,-1.5489,-0.5661757255350088,0.43753930499193633,-534.3273,-602.7401,0.004386942158749196,-16.9278,-0.4328,-0.4421,0.10918906090934821,-0.08689607315774023,-0.7273569906039923,-0.5884738677108737,0.07174,-0.0074280000000000014
0.3,15,-0.5296422454321663,-3.7079,-0.4631516518468609,-0.6303,-1.413794847249825,1.8857728302565318,-504.1489,-553.3414,-0.14105415447971256,-17.9332,-0.2909,-0.3,0.10308644737894235,-0.06188236792788328,-0.6820148030937129,-0.42350995234772154,0.06296,-0.007312000000000001
0.3,20,-1.032668268577666,-5.1282,-0.7880451296053196,2.119,-3.107956154744916,4.837887359146757,-531.6295,-516.4788,-0.5303301812262358,-18.7994,-0.1253,-0.1342,0.09090697635582433,-0.04223178550046008,-0.6024717060075624,-0.2929376447444606,0.0504,-0.005132
0.45,0,0.0,-0.0,0.0,0.0,0.0,0.0,-704.181,-704.0624,0.0,-13.1214,-0.5623,-0.5718,0.1092486170237181,-0.1092486170237181,-0.7284539177761575,-0.7284539177761575,0.0713,-0.002527999999999997
0.45,1,-0.0005686162760886468,-0.1747,-0.0011014285871200355,-0.2741,-0.001922108941081916,0.0013116172852838677,-690.4363,-703.0136,0.0,-13.2875,-0.5613,-0.5707,0.10952073964396554,-0.11063929130978198,-0.7303840900130432,-0.7385101899965323,0.07139999999999999,-0.002791999999999999
0.45,2,-0.003794569013983323,-0.3634,-0.006974537463656679,-0.5308,-0.00977707981961324,0.005481289356660025,-675.9034,-700.2739,0.0005848964987421264,-13.6914,-0.5577,-0.5671,0.1099565573722869,-0.11157911143730026,-0.7335281910092294,-0.7455789112803816,0.0717,-0.003216000000000001
0.45,3,-0.010240814040390128,-0.5693,-0.016811443346106868,-0.7721,-0.0315226851100623,0.01594992931349947,-661.0034,-695.9397,0.002158528291816349,-14.1846,-0.5515,-0.5609,0.11049971340323653,-0.11162933058878315,-0.7373937843301012,-0.7467396657899001,0.07218,-0.0037360000000000015
