time,thrust
2.1390000000000002,407.59032989690724
2.149,413.2133814432989
2.1590000000000003,418.95779381443293
2.169,418.3509896907216
2.179,414.5685773195876
2.189,405.9519587628866
2.199,404.1315463917526
2.209,411.0288865979381
2.219,411.5750103092783
2.229,413.0313402061855
2.239,406.55876288659795
2.249,404.3540412371134
2.259,405.26424742268034
2.269,403.888824742268
2.279,408.03531958762886
2.289,400.0861855670103
2.299,403.0190721649484
2.309,404.0506391752577
2.319,403.8281443298969
2.329,403.2415670103092
2.339,406.3362680412371
2.349,403.38315463917525
2.359,407.1048865979381
2.369,406.6598969072165
2.379,401.6031958762886
2.3890000000000002,400.55140206185564
2.399,400.248
2.4090000000000003,400.12663917525765
2.419,396.951030927835
2.4290000000000003,407.87350515463913
2.439,407.16556701030925
2.449,401.50206185567004
2.459,404.8192577319587
2.469,406.3160412371133
2.479,407.69146391752577
2.489,406.6801237113402
2.499,405.6485567010309
2.509,401.7650103092783
2.521,399.5602886597938
2.531,397.59828865979375
2.541,397.3353402061855
2.551,396.12173195876284
2.561,391.87410309278346
2.571,391.4695670103093
2.581,390.64026804123705
2.591,390.3166391752577
2.601,387.3432989690721
2.611,394.13950515463915
2.621,396.54649484536077
2.6310000000000002,395.93969072164947
2.641,390.37731958762885
2.6510000000000002,390.92344329896906
2.661,391.51002061855667
2.6710000000000003,389.7907422680412
2.681,394.5440412371134
2.691,393.22929896907215
2.701,391.08525773195873
2.711,394.2406391752577
2.721,391.38865979381444
2.731,391.4695670103093
2.741,390.92344329896906
2.751,392.94612371134014
2.761,395.130618556701
2.771,398.73098969072163
2.781,394.2406391752577
2.791,394.5642680412371
2.801,390.9032164948453
2.811,389.0625773195876
2.821,385.7453814432989
2.831,386.9185360824742
2.841,382.00342268041237
2.851,380.58754639175254
2.861,386.8983092783505
2.871,389.83119587628863
2.8810000000000002,387.88942268041234
2.891,393.1483917525773
2.9010000000000002,388.6782680412371
2.911,391.32797938144324
2.9210000000000003,387.3432989690721
2.931,385.82628865979376
2.9410000000000003,386.6960412371134
2.951,385.11835051546393
2.961,380.3650515463917
2.971,382.9540824742268
2.981,389.0625773195876
2.991,383.66202061855665
3.001,382.38773195876286
3.011,382.9945360824742
3.021,382.04387628865976
3.031,373.26544329896905
3.041,374.2565567010309
3.051,372.5170515463917
3.061,368.5323711340206
3.071,372.78
3.081,373.8722474226804
3.091,373.12385567010307
3.101,374.82290721649485
3.111,379.33348453608244
3.121,376.8860412371134
3.1310000000000002,376.2590103092783
3.141,369.766206185567
3.1510000000000002,368.02670103092777
3.161,369.5437113402062
3.1710000000000003,369.6448453608247
3.181,371.08094845360824
3.1910000000000003,367.8446597938144
3.201,369.15940206185564
3.211,367.90534020618554
3.221,366.52991752577316
3.231,362.2822886597938
3.241,363.23294845360823
3.251,362.4643298969072
3.261,362.6059175257732
3.271,360.48210309278346
3.281,364.89154639175257
3.291,358.2369278350515
3.301,359.04599999999994
3.311,356.9019587628866
3.321,351.23845360824737
3.331,350.5709690721649
3.341,343.0465979381443
3.351,340.0125773195876
3.361,340.0934845360824
3.371,344.543381443299
3.3810000000000002,348.8719175257732
3.391,343.5320412371134
3.4010000000000002,342.09593814432986
3.411,337.2415051546391
3.4210000000000003,333.07478350515464
3.431,328.96874226804124
3.4410000000000003,328.2001237113402
3.451,327.4517319587628
3.461,326.82470103092777
3.471,328.0585360824742
3.481,334.6322474226804
3.491,334.4097525773195
3.501,330.8296082474227
3.511,327.370824742268
3.524,320.8375670103093
3.5340000000000003,321.9298144329897
3.544,314.4458969072165
3.5540000000000003,318.2485360824742
3.564,313.7581855670103
3.5740000000000003,309.26783505154634
3.584,312.09958762886595
3.594,311.95799999999997
3.604,308.4587628865979
3.614,312.40298969072165
3.624,315.6999587628866
3.634,314.6683917525773
3.644,310.3803092783505
3.654,303.44251546391746
3.664,303.07843298969067
3.674,300.0646391752577
3.684,296.1810927835051
3.694,294.96748453608245
3.704,293.02571134020616
3.714,288.2926391752577
3.724,296.1810927835051
3.734,294.6034020618556
